Ano_0,Ano_1,Ano_2
1724.6857,1724.6857,1724.6857
1661.521,1661.521,1661.521
1577.678,1577.678,1577.678
1574.1061,1574.1061,1574.1061
1772.4968,1772.4968,1772.4968
1760.0431,1760.0431,1760.0431
1716.3071,1716.3071,1716.3071
1608.4901,1608.4901,1608.4901
1480.8123,1480.8123,1480.8123
1366.1805,1366.1805,1366.1805
1294.5437,1294.5437,1294.5437
1287.3893,1287.3893,1287.3893
1293.0553,1293.0553,1293.0553
1311.3948,1311.3948,1311.3948
1334.0573,1334.0573,1334.0573
1433.599,1433.599,1433.599
1571.7833,1571.7833,1571.7833
1608.3802,1608.3802,1608.3802
1777.0138,1777.0138,1777.0138
1847.3209,1847.3209,1847.3209
1896.7982,1896.7982,1896.7982
1902.8265,1902.8265,1902.8265
1903.2467,1903.2467,1903.2467
1844.8796,1844.8796,1844.8796
1766.4774,1766.4774,1766.4774
1695.6447,1695.6447,1695.6447
1622.3679,1622.3679,1622.3679
1611.5779,1611.5779,1611.5779
1807.2819,1807.2819,1807.2819
1848.1383,1848.1383,1848.1383
1730.6274,1730.6274,1730.6274
1640.0498,1640.0498,1640.0498
1434.1891,1434.1891,1434.1891
1295.5883,1295.5883,1295.5883
1260.3398,1260.3398,1260.3398
1238.6929,1238.6929,1238.6929
1225.1906,1225.1906,1225.1906
1223.392,1223.392,1223.392
1258.1418,1258.1418,1258.1418
1376.6787,1376.6787,1376.6787
1490.7866,1490.7866,1490.7866
1542.1956,1542.1956,1542.1956
1567.1136,1567.1136,1567.1136
1543.8658,1543.8658,1543.8658
1520.5635,1520.5635,1520.5635
1507.7634,1507.7634,1507.7634
1511.3978,1511.3978,1511.3978
1485.3279,1485.3279,1485.3279
1452.8765,1452.8765,1452.8765
1434.9656,1434.9656,1434.9656
1423.4376,1423.4376,1423.4376
1446.037,1446.037,1446.037
1599.9779,1599.9779,1599.9779
1606.0587,1606.0587,1606.0587
1527.5798,1527.5798,1527.5798
1444.0623,1444.0623,1444.0623
1284.8964,1284.8964,1284.8964
1218.9899,1218.9899,1218.9899
1176.4034,1176.4034,1176.4034
1147.1542,1147.1542,1147.1542
1151.9655,1151.9655,1151.9655
1156.6909,1156.6909,1156.6909
1151.2402,1151.2402,1151.2402
1182.6794,1182.6794,1182.6794
1276.6147,1276.6147,1276.6147
1330.5585,1330.5585,1330.5585
1374.7317,1374.7317,1374.7317
1391.043,1391.043,1391.043
1403.9917,1403.9917,1403.9917
1397.6945,1397.6945,1397.6945
1422.7892,1422.7892,1422.7892
1406.2141,1406.2141,1406.2141
1398.3992,1398.3992,1398.3992
1403.8188,1403.8188,1403.8188
1401.0033,1401.0033,1401.0033
1433.9131,1433.9131,1433.9131
1632.602,1632.602,1632.602
1634.5942,1634.5942,1634.5942
1522.486,1522.486,1522.486
1420.9713,1420.9713,1420.9713
1283.073,1283.073,1283.073
1209.5059,1209.5059,1209.5059
1135.5773,1135.5773,1135.5773
1100.1486,1100.1486,1100.1486
1083.7864,1083.7864,1083.7864
1065.7366,1065.7366,1065.7366
1052.8354,1052.8354,1052.8354
